steam_appid,name,steam_release_date,release_month,release_date_source,in_vndb,in_steam_visual_novel_tag,set_category,in_target_scope,exclusion_reason,vndb_ids,vndb_release_ids,vndb_titles,vndb_rtypes,vndb_official,steam_title,price_text,is_free,store_url,vndb_url
1197150,Em-A-Li,2020-01-02,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Em-A-Li,$1.99,False,https://store.steampowered.com/app/1197150/,
814360,Mythic Ocean,2020-01-09,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Mythic Ocean,-80%,False,https://store.steampowered.com/app/814360/,
1212830,Seek Girl Ⅳ,2020-01-09,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Seek Girl Ⅳ,$1.99,False,https://store.steampowered.com/app/1212830/,
1163590,Bullet Girls Phantasia,2020-01-16,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Bullet Girls Phantasia,$29.99,False,https://store.steampowered.com/app/1163590/,
1052640,Retrace,2020-01-20,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Retrace,$7.99,False,https://store.steampowered.com/app/1052640/,
1119710,looK INside - Chapter 1,2020-01-22,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,looK INside - Chapter 1,$7.99,False,https://store.steampowered.com/app/1119710/,
1222260,The Lost Brewery,2020-01-24,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,The Lost Brewery,Free,True,https://store.steampowered.com/app/1222260/,
1218570,The Twins,2020-01-24,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,The Twins,$1.99,False,https://store.steampowered.com/app/1218570/,
1217190,浮世万千之前世今生,2020-01-27,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,浮世万千之前世今生,$10.99,False,https://store.steampowered.com/app/1217190/,
1003190,Alpacapaca Double Dash,2020-01-28,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Alpacapaca Double Dash,$5.99,False,https://store.steampowered.com/app/1003190/,
1045720,The Coma 2: Vicious Sisters,2020-01-28,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,The Coma 2: Vicious Sisters,-90%,False,https://store.steampowered.com/app/1045720/,
1058530,H-Rescue,2020-01-29,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,H-Rescue,$1.99,False,https://store.steampowered.com/app/1058530/,
1181520,Null & Peta -Invasion of the Queen Bug-,2020-01-30,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Null & Peta -Invasion of the Queen Bug-,$19.99,False,https://store.steampowered.com/app/1181520/,
1003090,Through the Darkest of Times,2020-01-30,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Through the Darkest of Times,$14.99,False,https://store.steampowered.com/app/1003090/,
1186880,OctoFurry,2020-01-31,2020-01,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,OctoFurry,$1.99,False,https://store.steampowered.com/app/1186880/,
708970,GOD STARFIGHTER,2020-02-04,2020-02,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,GOD STARFIGHTER,$4.99,False,https://store.steampowered.com/app/708970/,
1220330,Impressions,2020-02-04,2020-02,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Impressions,Free,True,https://store.steampowered.com/app/1220330/,
1228430,Pair-a-Site,2020-02-06,2020-02,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Pair-a-Site,Free,True,https://store.steampowered.com/app/1228430/,
1146630,Yokai's Secret,2020-02-06,2020-02,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Yokai's Secret,$1.99,False,https://store.steampowered.com/app/1146630/,
956560,StarCrossed,2020-02-11,2020-02,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,StarCrossed,$9.99,False,https://store.steampowered.com/app/956560/,
1102130,Florence,2020-02-13,2020-02,steam_store_search,False,True,STEAM_ONLY,True,,,,,,,Florence,$5.99,False,https://store.steampowered.com/app/1102130/,
