release_month,game_count,high_heat_count,low_heat_count,unknown_review_count,all_ages_count,not_all_ages_count,unknown_age_count,copies_sold_sum,copies_sold_known
2020-01,28,8,20,0,23,5,0,835261,26
2020-02,46,15,31,0,36,10,0,2135287,44
2020-03,31,9,22,0,24,7,0,441906,30
2020-04,46,14,32,0,37,9,0,379809,39
2020-05,37,11,26,0,29,8,0,1349408,30
2020-06,44,9,35,0,40,4,0,3513450,42
2020-07,50,16,34,0,41,9,0,405896,42
2020-08,40,12,28,0,31,9,0,1045748,35
2020-09,34,8,26,0,28,6,0,302224,32
2020-10,53,17,36,0,44,9,0,1005416,46
2020-11,44,10,34,0,39,5,0,1462383,36
2020-12,45,13,32,0,33,12,0,1132433,41
2021-01,44,13,31,0,37,7,0,382499,39
2021-02,42,14,28,0,31,11,0,359139,39
2021-03,39,5,34,0,26,13,0,573578,32
2021-04,45,14,31,0,34,11,0,702915,41
2021-05,43,12,31,0,32,11,0,225313,38
2021-06,45,13,32,0,36,9,0,1953471,39
2021-07,54,10,44,0,43,11,0,805461,49
2021-08,53,17,36,0,40,13,0,1665406,48
2021-09,49,10,39,0,34,15,0,1620008,42
2021-10,55,15,40,0,33,22,0,973706,49
2021-11,58,14,44,0,42,16,0,4486932,54
2021-12,63,15,48,0,44,19,0,883236,60
2022-01,59,12,47,0,44,15,0,697396,54
2022-02,57,11,46,0,40,17,0,271284,53
2022-03,79,19,60,0,49,30,0,1921479,68
2022-04,56,12,44,0,26,30,0,929138,50
2022-05,48,8,40,0,31,17,0,290100,48
2022-06,45,8,37,0,28,17,0,1276901,43
2022-07,60,14,46,0,43,17,0,858366,58
2022-08,65,16,49,0,50,15,0,1006251,61
2022-09,66,13,53,0,40,26,0,1589590,63
2022-10,73,15,58,0,51,22,0,738780,67
2022-11,64,6,58,0,42,22,0,268046,58
2022-12,86,9,77,0,51,35,0,1419862,74
2023-01,42,8,34,0,33,9,0,495566,41
2023-02,74,15,59,0,50,24,0,690401,65
2023-03,80,15,65,0,61,19,0,1480518,72
2023-04,62,15,47,0,48,14,0,2385761,56
2023-05,65,7,58,0,41,24,0,352762,59
2023-06,69,10,59,0,48,21,0,1015936,66
2023-07,61,8,53,0,42,19,0,676337,55
2023-08,78,17,61,0,50,28,0,1159675,67
2023-09,67,12,55,0,44,23,0,377514,64
2023-10,73,12,61,0,53,20,0,2008652,66
2023-11,60,12,48,0,33,27,0,564057,54
2023-12,83,12,71,0,56,27,0,1201079,77
2024-01,78,16,62,0,55,23,0,2065097,68
2024-02,93,11,82,0,70,23,0,215003,86
2024-03,79,12,67,0,52,27,0,216811,71
2024-04,91,26,65,0,58,33,0,1936548,84
2024-05,87,22,65,0,64,23,0,541167,82
2024-06,74,14,60,0,52,22,0,794329,68
2024-07,74,12,62,0,56,18,0,401186,69
2024-08,95,17,78,0,67,28,0,640022,89
2024-09,68,15,53,0,49,19,0,634230,63
2024-10,77,15,62,0,58,19,0,660164,69
2024-11,94,17,77,0,67,27,0,1115119,89
2024-12,82,15,67,0,57,25,0,1192807,73
2025-01,67,12,55,0,51,16,0,420929,63
2025-02,98,15,83,0,70,28,0,497311,90
2025-03,91,16,75,0,69,22,0,529110,81
2025-04,75,6,69,0,53,22,0,357292,71
2025-05,70,11,59,0,47,23,0,366551,66
2025-06,75,17,58,0,50,25,0,1771495,70
2025-07,82,15,67,0,53,29,0,1020835,76
2025-08,97,20,77,0,73,24,0,780417,94
2025-09,83,12,71,0,68,15,0,238620,77
2025-10,85,11,74,0,65,20,0,4161168,81
2025-11,91,18,73,0,70,21,0,768803,84
2025-12,94,9,85,0,71,23,0,789036,83
