steam_appid,name,steam_release_date,release_month,release_year,months_since_release,store_url,vndb_url,copies_sold,gamalytic_status,steam_review_count,steam_review_positive,steam_review_negative,steam_review_positive_rate,steam_review_score_desc,steam_review_status,review_heat_group,all_ages_status,is_all_ages,has_ero_any,sexual_content_basis,vndb_minage_values,vndb_has_ero_values,vndb_uncensored_values,sexual_content_conflict,expanded_source,in_steam_visual_novel_tag,vndb_ids,vndb_release_ids,vndb_rtypes,vndb_official,price_text,is_free,copies_sold_fetched_at
1205160,Decadent Thinking,2020-01-01,2020-01,2020,79.21,https://store.steampowered.com/app/1205160/,https://vndb.org/v27532,277,FOUND,12,9,3,0.75,Mostly Positive,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v27532,r79683,complete,True,$14.99,False,2026-08-08T13:33:18.918902+00:00
1168470,千面 Melancholy Love,2020-01-02,2020-01,2020,79.18,https://store.steampowered.com/app/1168470/,https://vndb.org/v27565,26569,FOUND,2234,2114,120,0.946284691136974,Very Positive,FOUND,高热度（>198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v27565,r68714,complete,True,$4.99,False,2026-08-08T13:33:18.918902+00:00
1049100,泡沫冬景,2020-01-02,2020-01,2020,79.18,https://store.steampowered.com/app/1049100/,https://vndb.org/v24208,90198,FOUND,4505,4297,208,0.9538290788013318,Overwhelmingly Positive,FOUND,高热度（>198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v24208,r81838,complete,True,$14.99,False,2026-08-08T13:33:18.918902+00:00
590800,Rainbow Dreams,2020-01-03,2020-01,2020,79.15,https://store.steampowered.com/app/590800/,https://vndb.org/v20128,118,FOUND,7,5,2,0.7142857142857143,7 user reviews,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v20128,r51184,complete,True,$9.99,False,2026-08-08T13:33:18.918902+00:00
1130900,黎明霞光,2020-01-10,2020-01,2020,78.92,https://store.steampowered.com/app/1130900/,https://vndb.org/v27663,140,FOUND,11,7,4,0.6363636363636364,Mixed,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v27663,r68896,complete,True,$2.99,False,2026-08-08T13:33:18.918902+00:00
1216080,坦率的小红帽和爱说谎的狼,2020-01-13,2020-01,2020,78.82,https://store.steampowered.com/app/1216080/,https://vndb.org/v26215,76478,FOUND,1132,1112,20,0.9823321554770318,Overwhelmingly Positive,FOUND,高热度（>198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v26215,r68929,complete,True,Free,True,2026-08-08T13:33:18.919413+00:00
1071350,Little One - A Visual Novel,2020-01-14,2020-01,2020,78.78,https://store.steampowered.com/app/1071350/,https://vndb.org/v24659,952,FOUND,28,21,7,0.75,Mostly Positive,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v24659,r68937,complete,True,$9.99,False,2026-08-08T13:33:18.919413+00:00
1217390,Some Some Convenience Store,2020-01-14,2020-01,2020,78.78,https://store.steampowered.com/app/1217390/,https://vndb.org/v27704,70930,FOUND,3101,2975,126,0.9593679458239278,Overwhelmingly Positive,FOUND,高热度（>198）,全年龄,True,False,VNDB minage=15; has_ero=false,15,false,,False,ORIGINAL_INTERSECTION,True,v27704,r122970,complete,True,$14.99,False,2026-08-08T13:33:18.919413+00:00
1179100,Oppaidius Tropical Cruise!,2020-01-16,2020-01,2020,78.72,https://store.steampowered.com/app/1179100/,https://vndb.org/v26772,11169,FOUND,146,133,13,0.910958904109589,Very Positive,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,VNDB_ONLY_COMPLETE_INCREMENT,False,v26772,r66996,complete,True,,False,2026-08-08T13:33:18.919413+00:00
1148930,Chuusotsu! 1.5th Graduation: The Moving Castle,2020-01-17,2020-01,2020,78.69,https://store.steampowered.com/app/1148930/,https://vndb.org/v21410,368,FOUND,23,22,1,0.9565217391304348,Positive,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v21410,r52277,complete,True,$9.99,False,2026-08-08T13:33:18.919413+00:00
1198630,Customer Cums First!,2020-01-17,2020-01,2020,78.69,https://store.steampowered.com/app/1198630/,https://vndb.org/v13956,1340,FOUND,34,23,11,0.6764705882352942,Mixed,FOUND,低热度（≤198）,非全年龄,False,True,VNDB minage=18; has_ero=true; uncensored=false,18,true,false,False,VNDB_ONLY_COMPLETE_INCREMENT,False,v13956,r68719;r86147,complete,True,,False,2026-08-08T13:33:18.919413+00:00
1215120,DeeperRed2028-WeAreEscape-,2020-01-17,2020-01,2020,78.69,https://store.steampowered.com/app/1215120/,https://vndb.org/v27703,140,FOUND,10,10,0,1.0,Positive,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v27703,r68990,complete,True,$1.99,False,2026-08-08T13:33:18.919413+00:00
1215680,LVN Fake News - Adult Patch,2020-01-17,2020-01,2020,78.69,https://store.steampowered.com/app/1215680/,https://vndb.org/v24006,,NOT_FOUND,1,1,0,1.0,1 user reviews,FOUND,低热度（≤198）,非全年龄,False,True,VNDB minage=18; has_ero=true; uncensored=false,18,true,false,False,VNDB_ONLY_COMPLETE_INCREMENT,False,v24006,r68988,complete,True,,False,2026-08-08T13:33:18.919413+00:00
1118000,Revenant March,2020-01-17,2020-01,2020,78.69,https://store.steampowered.com/app/1118000/,https://vndb.org/v27702,518,FOUND,22,20,2,0.9090909090909091,Positive,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v27702,r68989,complete,True,$4.99,False,2026-08-08T13:33:18.919413+00:00
1017880,The Dark Side,2020-01-20,2020-01,2020,78.59,https://store.steampowered.com/app/1017880/,https://vndb.org/v27644,286,FOUND,13,8,5,0.6153846153846154,Mixed,FOUND,低热度（≤198）,全年龄,True,False,VNDB minage=10; has_ero=false,10,false,,False,ORIGINAL_INTERSECTION,True,v27644,r68834,complete,True,$0.99,False,2026-08-08T13:33:18.919413+00:00
1193330,Together - A Wish No One Remembers,2020-01-20,2020-01,2020,78.59,https://store.steampowered.com/app/1193330/,https://vndb.org/v27735,165,FOUND,11,11,0,1.0,Positive,FOUND,低热度（≤198）,全年龄,True,False,VNDB minage=0; has_ero=false,0,false,,False,ORIGINAL_INTERSECTION,True,v27735,r69056;r74329,complete;trial,True,$1.99,False,2026-08-08T13:33:18.919413+00:00
1149550,Utawarerumono: Mask of Deception,2020-01-23,2020-01,2020,78.49,https://store.steampowered.com/app/1149550/,https://vndb.org/v7721,52299,FOUND,1377,1276,101,0.9266521423384169,Very Positive,FOUND,高热度（>198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v7721,r68816,complete,True,$39.99,False,2026-08-08T13:33:18.919413+00:00
1151440,Utawarerumono: Mask of Truth,2020-01-23,2020-01,2020,78.49,https://store.steampowered.com/app/1151440/,https://vndb.org/v18717,35712,FOUND,1508,1453,55,0.963527851458886,Overwhelmingly Positive,FOUND,高热度（>198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v18717,r68817,complete,True,$39.99,False,2026-08-08T13:33:18.919413+00:00
1123190,育种村,2020-01-24,2020-01,2020,78.46,https://store.steampowered.com/app/1123190/,https://vndb.org/v23154,3905,FOUND,87,62,25,0.7126436781609196,Mostly Positive,FOUND,低热度（≤198）,非全年龄,False,True,VNDB minage=18; has_ero=true; uncensored=false,18,true,false,False,VNDB_ONLY_COMPLETE_INCREMENT,False,v23154,r69113,complete,True,,False,2026-08-08T13:33:18.919413+00:00
1180360,Two Love,2020-01-25,2020-01,2020,78.42,https://store.steampowered.com/app/1180360/,https://vndb.org/v27760,396,FOUND,11,10,1,0.9090909090909091,Positive,FOUND,低热度（≤198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v27760,r69123,complete,True,Free,True,2026-08-08T13:33:18.919413+00:00
1165920,Lives so Sweet,2020-01-26,2020-01,2020,78.39,https://store.steampowered.com/app/1165920/,https://vndb.org/v26393,662,FOUND,20,14,6,0.7,Mostly Positive,FOUND,低热度（≤198）,非全年龄,False,True,VNDB minage=18; has_ero=true; uncensored=true,18,true,true,False,VNDB_ONLY_COMPLETE_INCREMENT,False,v26393,r65652,complete,True,,False,2026-08-08T13:33:18.919413+00:00
914800,Coffee Talk,2020-01-29,2020-01,2020,78.29,https://store.steampowered.com/app/914800/,https://vndb.org/v23634,400135,FOUND,12500,11837,663,0.94696,Very Positive,FOUND,高热度（>198）,全年龄,True,False,has_ero=false,,false,,False,ORIGINAL_INTERSECTION,True,v23634,r69236,complete,True,-50%,False,2026-08-08T13:33:18.919413+00:00
2205000,Talk To Me,2020-01-29,2020-01,2020,78.29,https://store.steampowered.com/app/2205000/,https://vndb.org/v19449,,NOT_FOUND,0,0,0,,No user reviews,FOUND,低热度（≤198）,非全年龄,False,True,VNDB minage=17; has_ero=true; uncensored=true,17,true,true,False,VNDB_ONLY_COMPLETE_INCREMENT,False,v19449,r46391,complete,True,,False,2026-08-08T13:33:18.919413+00:00
1011190,SIMULACRA 2,2020-01-30,2020-01,2020,78.26,https://store.steampowered.com/app/1011190/,https://vndb.org/v57038,56838,FOUND,1686,1461,225,0.8665480427046264,Very Positive,FOUND,高热度（>198）,全年龄,True,False,VNDB minage=12; has_ero=false,12,false,,False,ORIGINAL_INTERSECTION,True,v57038,r137195,complete,True,$7.99,False,2026-08-08T13:33:18.919413+00:00
