steam_appid,name,steam_release_date,release_month,release_date_source,in_vndb,in_steam_visual_novel_tag,set_category,in_target_scope,exclusion_reason,vndb_ids,vndb_release_ids,vndb_titles,vndb_rtypes,vndb_official,steam_title,price_text,is_free,store_url,vndb_url,copies_sold,gamalytic_status,gamalytic_name,gamalytic_release_date_ms,gamalytic_cache_timestamp,copies_sold_fetched_at
1205160,Decadent Thinking,2020-01-01,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27532,r79683,Taihai Shikou,complete,True,Decadent Thinking,$14.99,False,https://store.steampowered.com/app/1205160/,https://vndb.org/v27532,277,FOUND,Decadent Thinking,1577854800000,1786132828461,2026-08-08T12:07:45.053966+00:00
1168470,千面 Melancholy Love,2020-01-02,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27565,r68714,Qian Mian,complete,True,千面 Melancholy Love,$4.99,False,https://store.steampowered.com/app/1168470/,https://vndb.org/v27565,26569,FOUND,千面 Melancholy Love,1577941200000,1786132828461,2026-08-08T12:07:45.053966+00:00
1049100,泡沫冬景,2020-01-02,2020-01,steam_store_search,True,True,INTERSECTION,True,,v24208,r81838,Christmas Tina -Utakata Toukei-,complete,True,泡沫冬景,$14.99,False,https://store.steampowered.com/app/1049100/,https://vndb.org/v24208,90198,FOUND,泡沫冬景,1577941200000,1786132828461,2026-08-08T12:07:45.053966+00:00
590800,Rainbow Dreams,2020-01-03,2020-01,steam_store_search,True,True,INTERSECTION,True,,v20128,r51184,Rainbow Dreams,complete,True,Rainbow Dreams,$9.99,False,https://store.steampowered.com/app/590800/,https://vndb.org/v20128,118,FOUND,Rainbow Dreams,1578027600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1130900,黎明霞光,2020-01-10,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27663,r68896,Liming Xiaguang,complete,True,黎明霞光,$2.99,False,https://store.steampowered.com/app/1130900/,https://vndb.org/v27663,140,FOUND,黎明霞光,1578632400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1216080,坦率的小红帽和爱说谎的狼,2020-01-13,2020-01,steam_store_search,True,True,INTERSECTION,True,,v26215,r68929,Sunao na Akazukin to Usotsuki na Ookami,complete,True,坦率的小红帽和爱说谎的狼,Free,True,https://store.steampowered.com/app/1216080/,https://vndb.org/v26215,76478,FOUND,坦率的小红帽和爱说谎的狼,1578891600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1071350,Little One - A Visual Novel,2020-01-14,2020-01,steam_store_search,True,True,INTERSECTION,True,,v24659,r68937,Xin zhi Jian,complete,True,Little One - A Visual Novel,$9.99,False,https://store.steampowered.com/app/1071350/,https://vndb.org/v24659,952,FOUND,Little One - A Visual Novel,1578978000000,1786132828461,2026-08-08T12:07:45.053966+00:00
1217390,Some Some Convenience Store,2020-01-14,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27704,r122970,Some Some Pyeonuijeom,complete,True,Some Some Convenience Store,$14.99,False,https://store.steampowered.com/app/1217390/,https://vndb.org/v27704,70930,FOUND,Some Some Convenience Store,1578978000000,1786132828461,2026-08-08T12:07:45.053966+00:00
1148930,Chuusotsu! 1.5th Graduation: The Moving Castle,2020-01-17,2020-01,steam_store_search,True,True,INTERSECTION,True,,v21410,r52277,Chuusotsu - 1.5th Graduation: The Moving Castle,complete,True,Chuusotsu! 1.5th Graduation: The Moving Castle,$9.99,False,https://store.steampowered.com/app/1148930/,https://vndb.org/v21410,368,FOUND,Chuusotsu! 1.5th Graduation: The Moving Castle,1579237200000,1786132828461,2026-08-08T12:07:45.053966+00:00
1215120,DeeperRed2028-WeAreEscape-,2020-01-17,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27703,r68990,Chihong 2028 -WeAreEscape-,complete,True,DeeperRed2028-WeAreEscape-,$1.99,False,https://store.steampowered.com/app/1215120/,https://vndb.org/v27703,140,FOUND,DeeperRed2028-WeAreEscape-,1579237200000,1786132828461,2026-08-08T12:07:45.053966+00:00
1118000,Revenant March,2020-01-17,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27702,r68989,Revenant March,complete,True,Revenant March,$4.99,False,https://store.steampowered.com/app/1118000/,https://vndb.org/v27702,518,FOUND,Revenant March,1579237200000,1786132828461,2026-08-08T12:07:45.053966+00:00
1017880,The Dark Side,2020-01-20,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27644,r68834,Tjomnaja storona,complete,True,The Dark Side,$0.99,False,https://store.steampowered.com/app/1017880/,https://vndb.org/v27644,286,FOUND,The Dark Side,1579496400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1193330,Together - A Wish No One Remembers,2020-01-20,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27735,r69056;r74329,Together - A Wish No One Remembers,complete;trial,True,Together - A Wish No One Remembers,$1.99,False,https://store.steampowered.com/app/1193330/,https://vndb.org/v27735,165,FOUND,Together - A Wish No One Remembers,1579496400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1149550,Utawarerumono: Mask of Deception,2020-01-23,2020-01,steam_store_search,True,True,INTERSECTION,True,,v7721,r68816,Utawarerumono: Itsuwari no Kamen,complete,True,Utawarerumono: Mask of Deception,$39.99,False,https://store.steampowered.com/app/1149550/,https://vndb.org/v7721,52299,FOUND,Utawarerumono: Mask of Deception,1579755600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1151440,Utawarerumono: Mask of Truth,2020-01-23,2020-01,steam_store_search,True,True,INTERSECTION,True,,v18717,r68817,Utawarerumono: Futari no Hakuoro,complete,True,Utawarerumono: Mask of Truth,$39.99,False,https://store.steampowered.com/app/1151440/,https://vndb.org/v18717,35712,FOUND,Utawarerumono: Mask of Truth,1579755600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1180360,Two Love,2020-01-25,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27760,r69123,Two Love,complete,True,Two Love,Free,True,https://store.steampowered.com/app/1180360/,https://vndb.org/v27760,396,FOUND,Two Love,1579928400000,1786132828461,2026-08-08T12:07:45.053966+00:00
914800,Coffee Talk,2020-01-29,2020-01,steam_store_search,True,True,INTERSECTION,True,,v23634,r69236,Coffee Talk,complete,True,Coffee Talk,-50%,False,https://store.steampowered.com/app/914800/,https://vndb.org/v23634,400135,FOUND,Coffee Talk,1580274000000,1786132828461,2026-08-08T12:07:45.053966+00:00
1011190,SIMULACRA 2,2020-01-30,2020-01,steam_store_search,True,True,INTERSECTION,True,,v57038,r137195,SIMULACRA 2,complete,True,SIMULACRA 2,$7.99,False,https://store.steampowered.com/app/1011190/,https://vndb.org/v57038,56838,FOUND,SIMULACRA 2,1580360400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1087800,Arranged,2020-01-31,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27834,r69316,Arranged,complete,True,Arranged,$0.99,False,https://store.steampowered.com/app/1087800/,https://vndb.org/v27834,522,FOUND,Arranged,1580446800000,1786132828461,2026-08-08T12:07:45.053966+00:00
1106950,Furries & Scalies: Friendswood,2020-01-31,2020-01,steam_store_search,True,True,INTERSECTION,True,,v27836,r69318,Furries & Scalies: Friendswood,complete,True,Furries & Scalies: Friendswood,$9.99,False,https://store.steampowered.com/app/1106950/,https://vndb.org/v27836,1,FOUND,Furries & Scalies: Friendswood,1580446800000,1786132828461,2026-08-08T12:07:45.053966+00:00
942020,Grimm & Tonic: Aperitif,2020-01-31,2020-01,steam_store_search,True,True,INTERSECTION,True,,v23383,r59581,Grimm & Tonic: Aperitif,complete,True,Grimm & Tonic: Aperitif,-75%,False,https://store.steampowered.com/app/942020/,https://vndb.org/v23383,1170,FOUND,Grimm & Tonic: Aperitif,1580446800000,1786132828461,2026-08-08T12:07:45.053966+00:00
1139950,Two Weeks in Painland,2020-02-03,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27946,r69599,Two Weeks in Painland,complete,True,Two Weeks in Painland,Free,True,https://store.steampowered.com/app/1139950/,https://vndb.org/v27946,4690,FOUND,Two Weeks in Painland,1580706000000,1786132828461,2026-08-08T12:07:45.053966+00:00
1159660,Moe Era,2020-02-04,2020-02,steam_store_search,True,True,INTERSECTION,True,,v26814,r67090,Era milyh veschej,complete,True,Moe Era,Free,True,https://store.steampowered.com/app/1159660/,https://vndb.org/v26814,223698,FOUND,Moe Era,1580792400000,1786132828461,2026-08-08T12:07:45.053966+00:00
897220,Summer Pockets,2020-02-05,2020-02,steam_store_search,True,True,INTERSECTION,True,,v20424,r71942,Summer Pockets,complete,True,Summer Pockets,$44.99,False,https://store.steampowered.com/app/897220/,https://vndb.org/v20424,99878,FOUND,Summer Pockets,1580878800000,1786132828461,2026-08-08T12:07:45.053966+00:00
1207210,The foreigner,2020-02-05,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27884,r87672,Yibang Ren,complete,True,The foreigner,$0.99,False,https://store.steampowered.com/app/1207210/,https://vndb.org/v27884,1140,FOUND,The foreigner,1580878800000,1786132828461,2026-08-08T12:07:45.053966+00:00
1174940,Kill or Love,2020-02-07,2020-02,steam_store_search,True,True,INTERSECTION,True,,v26356,r65534,Kill or Love,complete,True,Kill or Love,Free,True,https://store.steampowered.com/app/1174940/,https://vndb.org/v26356,138834,FOUND,Kill or Love,1581051600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1224530,Naked News,2020-02-07,2020-02,steam_store_search,True,True,INTERSECTION,True,,v29089,r74121,Naked News,complete,True,Naked News,$0.99,False,https://store.steampowered.com/app/1224530/,https://vndb.org/v29089,4879,FOUND,Naked News,1581051600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1189440,VenusBlood FRONTIER International,2020-02-07,2020-02,steam_store_search,True,True,INTERSECTION,True,,v9409,r84869,VenusBlood -FRONTIER-,complete,True,VenusBlood FRONTIER International,$39.99,False,https://store.steampowered.com/app/1189440/,https://vndb.org/v9409,25607,FOUND,VenusBlood FRONTIER International,1581051600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1209610,Virtually Real Life,2020-02-07,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27979,r69684,Virtually Real Life,complete,True,Virtually Real Life,$3.99,False,https://store.steampowered.com/app/1209610/,https://vndb.org/v27979,40,FOUND,Virtually Real Life,1581051600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1211650,Cirno's Perfect Summer Vacation,2020-02-10,2020-02,steam_store_search,True,True,INTERSECTION,True,,v26730,r66855,Cirno's Perfect Summer Vacation,complete,True,Cirno's Perfect Summer Vacation,Free,True,https://store.steampowered.com/app/1211650/,https://vndb.org/v26730,8550,FOUND,Cirno's Perfect Summer Vacation,1581310800000,1786132828461,2026-08-08T12:07:45.053966+00:00
1232180,Sakuya Izayoi Gives You Advice And Dabs,2020-02-10,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27913,r123940,Sakuya Izayoi Gives You Advice And Dabs,complete,True,Sakuya Izayoi Gives You Advice And Dabs,$0.99,False,https://store.steampowered.com/app/1232180/,https://vndb.org/v27913,77050,FOUND,Sakuya Izayoi Gives You Advice And Dabs,1581310800000,1786132828461,2026-08-08T12:07:45.053966+00:00
812590,Awakening of Celestial,2020-02-12,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27929,r69544,Awakening of Celestial,complete,True,Awakening of Celestial,$9.99,False,https://store.steampowered.com/app/812590/,https://vndb.org/v27929,33,FOUND,Awakening of Celestial,1581483600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1234030,ゴシックマーダー -運命を変えるアドベンチャー-,2020-02-12,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27932,r69550,Gothic Murder -Unmei o Kaeru Adventure-,complete,True,ゴシックマーダー -運命を変えるアドベンチャー-,$11.99,False,https://store.steampowered.com/app/1234030/,https://vndb.org/v27932,1260,FOUND,ゴシックマーダー -運命を変えるアドベンチャー-,1581483600000,1786132828461,2026-08-08T12:07:45.053966+00:00
1082700,Dinosaur Shakespeare: To Date or Not To Date?,2020-02-13,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27939,r69569,Dinosaur Shakespeare: To Date or Not to Date?,complete,True,Dinosaur Shakespeare: To Date or Not To Date?,$9.99,False,https://store.steampowered.com/app/1082700/,https://vndb.org/v27939,96,FOUND,Dinosaur Shakespeare: To Date or Not To Date?,1581570000000,1786132828461,2026-08-08T12:07:45.053966+00:00
1228960,Harolds Harem: The Neckoning,2020-02-13,2020-02,steam_store_search,True,True,INTERSECTION,True,,v30524,r78122,Harold's Harem: The Neckoning,complete,True,Harolds Harem: The Neckoning,$3.99,False,https://store.steampowered.com/app/1228960/,https://vndb.org/v30524,328,FOUND,Harolds Harem: The Neckoning,1581570000000,1786132828461,2026-08-08T12:07:45.053966+00:00
1220710,Ace In Space,2020-02-14,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27943,r69595,Ace in Space,complete,True,Ace In Space,$6.99,False,https://store.steampowered.com/app/1220710/,https://vndb.org/v27943,1329,FOUND,Ace In Space,1581656400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1041210,Mission: It's Complicated,2020-02-14,2020-02,steam_store_search,True,True,INTERSECTION,True,,v30535,r78173,Mission: It's Complicated,complete,True,Mission: It's Complicated,Free,True,https://store.steampowered.com/app/1041210/,https://vndb.org/v30535,14245,FOUND,Mission: It's Complicated,1581656400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1221890,SCP: One More Life,2020-02-14,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27944,r69596,SCP: One More Life,complete,True,SCP: One More Life,$3.99,False,https://store.steampowered.com/app/1221890/,https://vndb.org/v27944,546,FOUND,SCP: One More Life,1581656400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1144400,Senren＊Banka,2020-02-14,2020-02,steam_store_search,True,True,INTERSECTION,True,,v19073,r52360,Senren * Banka,complete,True,Senren＊Banka,$34.99,False,https://store.steampowered.com/app/1144400/,https://vndb.org/v19073,1104424,FOUND,Senren＊Banka,1581656400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1236480,King of Volleyball,2020-02-15,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27833,r69634,King of Volleyball,complete,True,King of Volleyball,$3.99,False,https://store.steampowered.com/app/1236480/,https://vndb.org/v27833,179,FOUND,King of Volleyball,1581742800000,1786132828461,2026-08-08T12:07:45.053966+00:00
1202770,kirakira stars idol project AI,2020-02-16,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27959,r69635,Kirakira Stars -idol project Ai-,complete,True,kirakira stars idol project AI,$12.99,False,https://store.steampowered.com/app/1202770/,https://vndb.org/v27959,2816,FOUND,kirakira stars idol project AI,1581829200000,1786132828461,2026-08-08T12:07:45.053966+00:00
1232120,Aether Field,2020-02-17,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27970,r69648,Aether Field,complete,True,Aether Field,$3.99,False,https://store.steampowered.com/app/1232120/,https://vndb.org/v27970,783,FOUND,Aether Field,1581915600000,1786132828461,2026-08-08T12:07:45.053966+00:00
974910,Magical Diary: Wolf Hall,2020-02-17,2020-02,steam_store_search,True,True,INTERSECTION,True,,v24966,r61278,Magical Diary: Wolf Hall,complete,True,Magical Diary: Wolf Hall,$24.99,False,https://store.steampowered.com/app/974910/,https://vndb.org/v24966,8405,FOUND,Magical Diary: Wolf Hall,1581915600000,1786132828461,2026-08-08T12:07:45.053966+00:00
926340,Roman's Christmas / 罗曼圣诞探案集,2020-02-19,2020-02,steam_store_search,True,True,INTERSECTION,True,,v26897,r76436,Luoman Shengdan Tan An Ji,complete,True,Roman's Christmas / 罗曼圣诞探案集,$10.99,False,https://store.steampowered.com/app/926340/,https://vndb.org/v26897,27549,FOUND,Roman's Christmas / 罗曼圣诞探案集,1582088400000,1786132828461,2026-08-08T12:07:45.053966+00:00
1123510,Самозванец,2020-02-19,2020-02,steam_store_search,True,True,INTERSECTION,True,,v27976,r69676,Samozvanec,complete,True,Самозванец,$3.99,False,https://store.steampowered.com/app/1123510/,https://vndb.org/v27976,826,FOUND,Самозванец,1582088400000,1786132828461,2026-08-08T12:07:45.053966+00:00
