month,game_count,games_with_copies_sold,games_missing_copies_sold,copies_sold_sum
2020-01,21,21,0,814212
2020-02,34,34,0,2032319
2020-03,20,20,0,392702
2020-04,32,31,1,304559
2020-05,20,20,0,703201
2020-06,34,34,0,3467959
2020-07,35,35,0,254995
2020-08,25,25,0,985400
2020-09,26,26,0,282963
2020-10,37,37,0,868052
2020-11,30,30,0,1404941
2020-12,27,27,0,841580
2021-01,31,31,0,370247
2021-02,25,25,0,237282
2021-03,19,19,0,504305
2021-04,28,28,0,533041
2021-05,25,25,0,196736
2021-06,31,31,0,1878472
2021-07,37,37,0,760080
2021-08,33,33,0,1575033
2021-09,26,25,1,958505
2021-10,31,31,0,742444
2021-11,33,33,0,3158818
2021-12,40,40,0,793331
2022-01,35,35,0,301560
2022-02,33,32,1,141052
2022-03,39,39,0,916677
2022-04,20,19,1,151591
2022-05,30,30,0,145434
2022-06,24,24,0,373375
2022-07,39,39,0,715430
2022-08,47,47,0,959345
2022-09,37,37,0,559005
2022-10,38,38,0,443004
2022-11,32,32,0,179588
2022-12,36,35,1,1206244
2023-01,29,29,0,448745
2023-02,44,44,0,269822
2023-03,46,46,0,1346676
2023-04,39,39,0,2226853
2023-05,36,36,0,170522
2023-06,45,45,0,365544
2023-07,34,34,0,411545
2023-08,43,43,0,404566
2023-09,38,38,0,162587
2023-10,44,44,0,1840071
2023-11,29,29,0,133952
2023-12,45,45,0,749838
2024-01,49,49,0,1943390
2024-02,57,56,1,130873
2024-03,37,36,1,67827
2024-04,55,55,0,1576575
2024-05,55,55,0,251774
2024-06,43,41,2,182189
2024-07,49,49,0,225940
2024-08,56,56,0,483974
2024-09,43,42,1,323770
2024-10,50,49,1,512614
2024-11,58,58,0,610446
2024-12,51,51,0,784832
2025-01,45,44,1,195043
2025-02,58,58,0,324971
2025-03,58,57,1,385886
2025-04,51,50,1,282392
2025-05,43,42,1,146005
2025-06,44,43,1,558646
2025-07,49,49,0,753063
2025-08,65,63,2,615752
2025-09,63,60,3,191357
2025-10,54,54,0,94773
2025-11,64,62,2,544203
2025-12,61,59,2,688185
