steam_appid,name,steam_release_date,release_month,release_date_source,in_vndb,in_steam_visual_novel_tag,set_category,in_target_scope,exclusion_reason,vndb_ids,vndb_release_ids,vndb_titles,vndb_rtypes,vndb_official,steam_title,price_text,is_free,store_url,vndb_url
1375160,Pakucchau zo!! - Download Edition,2007-03-06,2007-03,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v6779,r29565,Pakucchau zo!!,complete,True,,,,https://store.steampowered.com/app/1375160/,https://vndb.org/v6779
1374040,Yogatte! Oku-sama ~Yokkyuu Fuman na Mucchiri Tsuma-tachi~ Download Edition,2008-09-26,2008-09,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v3459,r29553,Yogatte! Oku-sama ~Yokkyuu Fuman na Mucchiri Tsuma-tachi~,complete,True,,,,https://store.steampowered.com/app/1374040/,https://vndb.org/v3459
31100,Wallace & Gromit’s Grand Adventures,2009-03-23,2009-03,steam_store_search,False,True,STEAM_ONLY,False,OUTSIDE_2020_2025,,,,,,Wallace & Gromit’s Grand Adventures,$14.99,False,https://store.steampowered.com/app/31100/,
1055760,Mei Shaonian Meng Gongchang 3 - Chongsheng,2010-07-24,2010-07,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v10529,r21259,Mei Shaonian Meng Gongchang 3 - Chongsheng,complete,True,,,,https://store.steampowered.com/app/1055760/,https://vndb.org/v10529
2285330,"Ai Suru Tsuma, Reina no Uwaki Kokuhaku ""O, Ore yori Kimochi Yokatta no ka...?"" → ""...Un. Sugokatta"" - Download Edition",2011-04-22,2011-04,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v6755,r90684,"Ai Suru Tsuma, Reina no Uwaki Kokuhaku ""O, Ore yori Kimochi Yokatta no ka...?"" → ""...Un. Sugokatta""",complete,True,,,,https://store.steampowered.com/app/2285330/,https://vndb.org/v6755
2285350,Hoka no Otoko no Seieki de Haramu Toki ~Fusuma no Mukou de Otouto no Seieki o Sosogikomareteiru Tsuma~ Download Edition,2011-10-28,2011-10,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v7529,r74017,Hoka no Otoko no Seieki de Haramu Toki ~Fusuma no Mukou de Otouto no Seieki o Sosogikomareteiru Tsuma~,complete,True,,,,https://store.steampowered.com/app/2285350/,https://vndb.org/v7529
2285320,"Ai Suru Tsuma, Misaki no Furin Shouko ""Danna to Docchi ga Kimochi Ii?"" → ""Anata no Hou ga... A, Dame, Mata Icchau...!"" - Download Edition",2012-01-27,2012-01,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v8012,r74018,"Ai Suru Tsuma, Misaki no Furin Shouko ""Danna to Docchi ga Kimochi Ii?"" → ""Anata no Hou ga... A, Dame, Mata Icchau...!""",complete,True,,,,https://store.steampowered.com/app/2285320/,https://vndb.org/v8012
1424190,Curious Alice,2012-02-22,2012-02,steam_store_search,False,True,STEAM_ONLY,False,OUTSIDE_2020_2025,,,,,,Curious Alice,$4.99,False,https://store.steampowered.com/app/1424190/,
207610,The Walking Dead,2012-04-24,2012-04,steam_store_search,False,True,STEAM_ONLY,False,OUTSIDE_2020_2025,,,,,,The Walking Dead,$14.99,False,https://store.steampowered.com/app/207610/,
209370,Analogue: A Hate Story,2012-04-27,2012-04,steam_store_search,True,True,INTERSECTION,False,OUTSIDE_2020_2025,v9680,r37286,Analogue: A Hate Story,complete,True,Analogue: A Hate Story,$9.99,False,https://store.steampowered.com/app/209370/,https://vndb.org/v9680
214610,Cherry Tree High Comedy Club;Cherry Tree High Comedy Club (Original Setting Version);Cherry Tree High Comedy Club - Trial Edition,2012-04-27,2012-04,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v8455,r17210;r35223;r37312,Manken!,complete;trial,True,,,,https://store.steampowered.com/app/214610/,https://vndb.org/v8455
211340,Magical Diary: Horse Hall,2012-05-31,2012-05,steam_store_search,True,True,INTERSECTION,False,OUTSIDE_2020_2025,v7499,r14999,Magical Diary: Horse Hall,complete,True,Magical Diary: Horse Hall,$14.99,False,https://store.steampowered.com/app/211340/,https://vndb.org/v7499
2285340,"Ai Suru Tsuma ga Me no Mae de Tanin Bou ni Tsuranukare, Yogari Aeide Iku. Gomennasai Anata. Demo, Watashi Kimochi Ii no... - Download Edition",2012-08-24,2012-08,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v10210,r56263,"Ai Suru Tsuma ga Me no Mae de Tanin Bou ni Tsuranukare, Yogari Aeide Iku. Gomennasai Anata. Demo, Watashi Kimochi Ii no...",complete,True,,,,https://store.steampowered.com/app/2285340/,https://vndb.org/v10210
3252100,Netorare Byou ~Ai Suru Tsuma ga Ore Igai no Otoko ni Nakadashi Sarenai to Tasukaranai Kibyou ni Nattara~,2012-08-31,2012-08,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v11147,r22688,Netorare Byou ~Ai Suru Tsuma ga Ore Igai no Otoko ni Nakadashi Sarenai to Tasukaranai Kibyou ni Nattara~,complete,True,,,,https://store.steampowered.com/app/3252100/,https://vndb.org/v11147
1053270,Henshin Ganbou - Download Edition,2012-09-28,2012-09,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v11136,r23146,Henshin Ganbou,complete,True,,,,https://store.steampowered.com/app/1053270/,https://vndb.org/v11136
323760,Dandelion Demo,2012-10-31,2012-10,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v10792,r23578,Dandelion ~Neoege Buneun Baram~,trial,True,,,,https://store.steampowered.com/app/323760/,https://vndb.org/v10792
2473500,"Netorarezuma Asuka Watashi, Hoka no Otoko no Hito de Konna ni Kanjichatteru... - Download Edition",2012-11-23,2012-11,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v10848,r74056,"Netorarezuma Asuka Watashi, Hoka no Otoko no Hito de Konna ni Kanjichatteru...",complete,True,,,,https://store.steampowered.com/app/2473500/,https://vndb.org/v10848
234940,The 39 Steps,2013-03-15,2013-03,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v12284,r26073,The 39 Steps,complete,True,,,,https://store.steampowered.com/app/234940/,https://vndb.org/v12284
226740,Monster Loves You!,2013-03-18,2013-03,steam_store_search,False,True,STEAM_ONLY,False,OUTSIDE_2020_2025,,,,,,Monster Loves You!,$9.99,False,https://store.steampowered.com/app/226740/,
2457590,Magic Potion Stories - Trial Edition,2013-03-29,2013-03,vndb_steam_release,True,False,VNDB_ONLY,False,OUTSIDE_2020_2025,v15227,r78859,Magic Potion Stories,trial,True,,,,https://store.steampowered.com/app/2457590/,https://vndb.org/v15227
